Name,Npl,Lim,Mult,R14,Hab,USP,Oth,F,Obs,Kepler,f_Kepler,KIC,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H],vsini,e_vsini,Cat,MTeff,Mlogg,M[Fe/H],Mvsini,XTeff,Xlogg,X[Fe/H],Xvsini,TRV,BTeff,Bvsini,B,File,KCat,fits,Simbad,_RA,_DE,kepid,teff,feh,tm_designation,kepmag,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_distance,darcsec,GminK,visflag,astflag,parflag,binflag,zpt,parallax_zpcorrected,parallax_corrected,parallax_error_corrected,distpc,ak,ak_err,kmag_corrrected,kmag_err_corrected
KOI-02581   ,1,1,0,0,0,0,0,0,rj152.672 ,2581,    ,11818872,5482.9,60.0, 4.441, 0.100, 0.280, 0.040,  2.1, 1.0,SM+SX,5498.2, 4.441, 0.276,  2.1,5467.6, 4.484, 0.285, 4.5,   1.5,True ,True ,1,cks-k02581_rj152.672.fits      ,2,fits,Simbad,294.35092,50.081089,11818872,5498.2, 0.276,2MASS J19372421+5004519,13.463,12.209,0.021,11.893,0.018,11.808,0.019,1636042515805110273,Gaia EDR3 2135104903719129984,2135104903719129984,1526678259,2016.0,294.3508477109692,0.008944664,50.08095904650364,0.009723334,2.238989468225146,0.00985211,227.25989,28.044842,-8.955033607191895,0.012065252,-26.576691538044443,0.012333773,0.048813652,0.04929481,-0.12134589,-0.03749297,0.046318274,-0.033060323,-0.0780171,0.005179577,-0.059712008,0.1013242,365,0,365,0,0.7783928,384.49692,0.0,0.0,31,False,1.5230243,,,,,,,,42,27,0.017769199,45,17,0,0.020120114,83.544785,0,0,1.0282141,0.19604947,0.117957056,0.0728038,0.076618806,-77.61857,-69.351364,31.942396,-3.3983295,False,380,80334.80373014355,13.465171,5966.118,13.425108,43,40360.63725225742,37.345512,1080.736,13.8236475,41,56384.91460810739,37.694057,1495.8568,12.869988,0.0,0.0,0.0,0.0,0.0,1.2042794,0.95365906,0.39853954,0.5551195,,,0,,,,82.60777981194833,13.647101376200167,318.8406030381293,69.42482300872867,2MASS J19372421+5004519,294.3509101355938,50.08107736601778,2.2506,-9.013,-26.622,-0.9,2000.0,6.36979629101207e-10,2.293126664764345e-06,-0.0378919999999993,False,False,False,False,-0.026153,2.2651424682251458,2.2651424682251458,0.011654824268349207,446.63005976205113,0.012085099,0.0036255298,11.795914901226759,0.019342814343326697
KOI-03689   ,1,1,0,0,0,0,0,0,rj179.894 ,3689,    ,7017372,5987.8,60.0, 4.201, 0.100, 0.020, 0.040,  4.0, 1.0,SM+SX,6000.5, 4.201, 0.030,  4.0,5975.0, 4.131, 0.010, 5.7,  21.5,True ,True ,1,cks-k03689_rj179.894.fits      ,0,fits,Simbad,285.9718,42.545712,7017372,6000.5, 0.030,2MASS J19035322+4232445,14.014,12.971,0.021,12.694,0.022,12.627,0.019,1636042515805110273,Gaia EDR3 2105521856178459136,2105521856178459136,12964266,2016.0,285.97176645331695,0.01095882,42.545621723648885,0.0123085845,0.9698201055809308,0.012746308,76.08636,19.092937,-5.7842391094686825,0.014223304,-18.19568225372897,0.015148434,-0.012031483,0.08961209,-0.011263397,-0.09121094,0.13707097,-0.11433118,-0.23769128,-0.061435133,-0.05788362,0.05099603,344,0,342,2,0.06529856,341.44928,0.0,0.0,31,False,1.5659698,,,,,,,,39,27,0.021497035,41,16,0,0.017911196,149.85977,0,0,1.0015265,0.2582846,0.08862703,0.064449005,0.094138294,-71.13817,69.57803,-7.894975,26.310465,False,350,48589.3492770808,9.101686,5338.5,13.971014,34,26578.43561328737,24.809565,1071.298,14.277219,34,31384.96783909701,19.797056,1585.3351,13.506091,0.0,0.0,0.0,0.0,0.0,1.192924,0.7711277,0.3062048,0.4649229,,,0,,,,73.05705704423916,15.826572842376171,298.0239621432209,64.4388678887109,2MASS J19035322+4232445,285.971801634185,42.54570301196416,0.9814,-5.832,-18.29,19.3,2000.0,1.0301980307655814e-09,3.708712910756094e-06,-0.042985999999999,False,False,False,False,-0.026378,0.9961981055809308,0.9961981055809308,0.014023750503957752,1031.1190645001025,0.015129999,0.004539,12.611870000742377,0.019534649209182093
KOI-00892   ,2,0,1,1,0,0,0,0,rj202.322 , 892,    ,7678434,5063.6,60.0, 4.703, 0.100,-0.061, 0.040,  2.6, 1.0,SM   ,5063.6, 4.703,-0.061,  2.6,      ,      ,      ,    ,  10.6,True ,True ,2,cks-k00892_rj202.322.fits      ,3,fits,Simbad,290.39322,43.363899,7678434,5063.6,-0.061,2MASS J19213437+4321500,15.193,13.67,0.025,13.249,0.025,13.135,0.029,1636042515805110273,Gaia EDR3 2126073961886389888,2126073961886389888,1155970832,2016.0,290.3931801703881,0.01637213,43.36385717740002,0.017908145,1.560430479079172,0.018939318,82.39106,5.475372,-3.68088630220036,0.022008404,-4.05348892060299,0.022429036,0.0015770468,0.01951019,-0.0041742455,-0.047579244,-0.020933403,-0.04167677,-0.17176606,-0.14647822,-0.081760325,-0.008284783,384,0,384,0,0.014346362,392.6155,0.0,0.0,31,False,1.4863216,,,,,,,,44,27,0.0312546,47,17,0,0.011872832,156.31718,0,0,0.9996416,0.2671311,0.063182905,0.061320737,0.04522417,-103.01705,85.12153,-2.218114,-37.329826,False,380,16505.926032362764,4.882652,3380.525,15.143267,45,7664.566334089704,14.020981,546.6498,15.627323,43,12568.170161330863,12.755741,985.29517,14.499716,0.0,4.0,0.0,0.0,0.0,1.2257862,1.1276073,0.48405647,0.6435509,,,0,,,,75.17702937215019,13.194667033833316,305.7359178602359,64.29400577541786,2MASS J19213437+4321500,290.3932029623792,43.36387542193917,1.5462,-3.728,-4.105,10.0,2000.0,1.0783471334287903e-09,3.8820496803436456e-06,-0.0497329999999998,False,False,False,False,-0.026347,1.586777479079172,1.586777479079172,0.020066077147961645,640.8487999991588,0.015129999,0.004539,13.119870000742376,0.029353066615360628
KOI-02521   ,2,0,1,1,0,0,0,0,rj190.798 ,2521,    ,7183745,4976.0,60.0, 4.680, 0.100,-0.241, 0.040,  1.4, 1.0,SM   ,4976.0, 4.680,-0.241,  1.4,      ,      ,      ,    ,   3.4,True ,True ,2,cks-k02521_rj190.798.fits      ,3,fits,Simbad,285.86929,42.728088,7183745,4976.0,-0.241,2MASS J19032862+4243411,15.86,14.388,0.027,13.922,0.035,13.824,0.045,1636042515805110273,Gaia EDR3 2105528350169042560,2105528350169042560,713128928,2016.0,285.8693286272935,0.024239682,42.72799695531512,0.025859978,1.1768069007476545,0.027334424,43.052193,19.690187,5.156751868541921,0.03061102,-19.002930364733608,0.030194065,-0.075661816,0.06043193,-0.17627908,-0.007060176,0.14032844,-0.035313364,-0.22958703,-0.17991157,-0.049443647,0.0057103145,361,0,356,5,-0.8616574,342.2551,0.0,0.0,31,False,1.4849368,,,,,,,,41,27,0.04293862,45,18,0,0.02026113,143.4261,1,0,0.9667166,0.20438276,0.10030321,0.0744441,0.11973259,-87.41065,54.044033,-26.611155,33.660175,False,369,8809.238453048627,3.2164297,2738.8252,15.825021,42,4073.1429018794574,12.264471,332.10913,16.313719,42,6704.093477402508,9.881291,678.4633,15.182045,0.0,1.0,0.0,0.0,0.0,1.2234015,1.1316738,0.488698,0.6429758,,,0,,,,73.2023303548495,15.965923793865596,297.96207440517577,64.63439748699689,2MASS J19032862+4243411,285.8692975466467,42.728081340925,1.1495,5.137,-18.987,0.0,2000.0,1.0811433039905483e-09,3.892115894365974e-06,-0.0349789999999998,False,False,False,False,-0.025782,1.2025889007476545,1.2025889007476545,0.028674726778453462,849.757083651256,0.015129999,0.004539,13.808870000742376,0.04522833757420008
KOI-02012   ,2,0,1,0,0,0,0,0,rj202.533 ,2012,    ,9839821,5737.6,60.0, 4.595, 0.100, 0.117, 0.040,  3.3, 1.0,SM   ,5737.6, 4.595, 0.117,  3.3,      ,      ,      ,    , -26.1,True ,True ,2,cks-k02012_rj202.533.fits      ,2,fits,Simbad,295.34271,46.602261,9839821,5737.6, 0.117,2MASS J19412225+4636081,14.876,13.727,0.023,13.393,0.025,13.305,0.034,1636042515805110273,Gaia EDR3 2080466185207274880,2080466185207274880,712862769,2016.0,295.34272992767865,0.015196048,46.60221278276875,0.015565861,1.0619283936351145,0.016891716,62.866814,4.5687575,-0.4819106052496741,0.022137092,-4.543270373723127,0.020035936,-0.0030426665,0.05460451,0.016859839,-0.025406051,0.15058471,-0.024004562,-0.09874984,-0.00357437,-0.073663116,-0.015565382,377,0,374,3,-0.088322006,378.7279,0.0,2.0924352e-15,31,False,1.5335677,,,,,,,,43,29,0.030611578,46,15,0,0.006046934,36.585697,0,0,0.99584836,0.19746786,0.014593924,0.11665556,0.04782259,-74.44404,70.17125,-15.123456,-22.391373,False,398,21619.78707209057,9.8159485,2202.5164,14.850239,42,11098.653435980295,20.015543,554.5018,15.225367,41,14943.050367235648,26.185759,570.65564,14.311797,0.0,0.0,0.0,1.0,0.0,1.204531,0.91356945,0.3751278,0.53844166,,,0,,,,79.73342254964066,11.48699683812325,316.33637373321915,66.01317537423739,2MASS J19412225+4636081,295.3427333767696,46.602232947909165,1.0314,-0.533,-4.537,0.0,2000.0,1.0920492781523602e-09,3.931377401348498e-06,-0.0257609999999992,False,False,False,False,-0.025516,1.0874443936351146,1.0874443936351146,0.017976256454640155,941.6830795689285,0.024208,0.0072624004,13.280792000070214,0.034766973695689846
KOI-00403   ,1,1,0,0,0,0,0,1,rj134.205 , 403,    ,4247092,6222.6,60.0, 4.229, 0.100, 0.039, 0.040, 10.1, 1.0,SM+SX,6227.5, 4.229, 0.040, 10.1,6217.7, 4.189, 0.039,11.2, -25.5,True ,True ,1,cks-k00403_rj134.205.fits      ,2,fits,Simbad,286.87967,39.378391,4247092,6227.5, 0.040,2MASS J19073111+3922421,14.169,12.968,0.022,12.679,0.025,12.602,0.022,1636042515805110273,Gaia EDR3 2100400949491004800,2100400949491004800,1650374418,2016.0,286.87963047633764,0.0109777795,39.37832834590867,0.012099933,0.9114376159256616,0.013276309,68.651436,11.436949,-2.910002278705291,0.015204281,-11.060546147738147,0.015266034,-0.039057974,-0.0042945836,-0.07777903,-0.010359292,0.12193399,-0.027872238,-0.27396402,-0.15167484,-0.18806215,-0.032800037,393,0,392,1,-1.7728373,342.7783,0.0,2.0431945e-15,31,False,1.5293002,,,,,,,,45,28,0.021645496,48,19,0,0.010946263,25.28752,0,0,0.9361156,0.12005899,0.08615138,0.082565196,0.15644969,-91.79472,75.86935,-7.3157797,-35.08945,False,397,41550.75057869896,6.73946,6165.294,14.14092,44,21173.678436503087,18.795097,1126.5532,14.524052,41,29127.44485334471,15.800345,1843.4689,13.587139,2.0,0.0,0.0,2.0,0.0,1.2105948,0.93691254,0.38313198,0.55378056,,,0,,,,70.32366039559648,13.949352366888553,297.76796309830644,61.20039173644847,2MASS J19073111+3922421,286.8796475143154,39.37837786685139,0.9115,-2.963,-11.142,-27.0,2000.0,1.3692495411580947e-09,4.9292983481691405e-06,-0.0280800000000009,False,False,False,False,-0.027439,0.9388766159256616,0.9388766159256616,0.014432506420961428,1097.167795718409,0.069598,0.020879399,12.532402003228665,0.03033066605285452
KOI-04367   ,1,1,0,0,0,0,0,0,rj177.318 ,4367,    ,4773392,6164.9,60.0, 4.220, 0.100,-0.148, 0.040,  7.7, 1.0,SM+SX,6276.7, 4.220,-0.064,  7.7,6053.1, 4.006,-0.233, 8.3, -27.2,True ,True ,1,cks-k04367_rj177.318.fits      ,0,fits,Simbad,298.03305,39.883179,4773392,6276.7,-0.064,2MASS J19520793+3952594,13.985,12.98,0.02,12.731,0.022,12.687,0.024,1636042515805110273,Gaia EDR3 2073471985601809152,2073471985601809152,1127943126,2016.0,298.0330678763542,0.010599328,39.8831650763785,0.011525143,0.8646759878443989,0.012983325,66.59897,2.7269547,-2.3125502023879525,0.013685771,-1.4451276868185738,0.014388863,-0.05654337,0.013615455,-0.08831287,-0.0647847,0.20263565,-0.06453885,-0.20116524,-0.03543526,-0.17306444,-0.1365533,415,0,414,1,-0.76054066,391.0137,0.0,0.0,31,False,1.570571,,,,,,,,48,28,0.020884313,52,21,0,0.004874225,165.51411,0,0,0.9727189,0.2685797,0.09709659,0.10935186,0.21377051,-90.730484,65.737434,4.511379,-18.99733,False,430,49528.69204004505,9.548816,5186.8936,13.950225,47,27319.372372313734,15.792186,1729.9298,14.247365,44,31788.529829733787,16.053669,1980.1411,13.492219,0.0,0.0,0.0,0.0,0.0,1.1934073,0.755146,0.29714012,0.4580059,,,0,,,,74.73588498701145,6.524804468845489,314.5486325451203,59.06332281930614,2MASS J19520793+3952594,298.0330815063783,39.88317165916222,0.8313,-2.353,-1.481,-28.9,2000.0,1.3836424012999062e-09,4.981112644679663e-06,-0.0347749999999997,False,False,False,False,-0.027816,0.8924919878443989,0.8924919878443989,0.014310118197173677,1156.5025675027223,0.036312,0.0108936,12.650688001036643,0.026356602957159827
KOI-01856   ,1,1,0,0,0,0,0,0,rj156.795 ,1856,    ,11570749,5251.1,60.0, 4.600, 0.100, 0.024, 0.040,  1.9, 1.0,SM+SX,5238.2, 4.600, 0.018,  1.9,5264.1, 4.562, 0.031, 4.4, -24.5,True ,True ,1,cks-k01856_rj156.795.fits      ,2,fits,Simbad,297.07861,49.502079,11570749,5238.2, 0.018,2MASS J19481886+4930074,14.082,12.743,0.022,12.306,0.021,12.283,0.024,1636042515805110273,Gaia EDR3 2087212616754764672,2087212616754764672,3456884,2016.0,297.0786345518246,0.011620104,49.502088385828735,0.012164787,2.15606166351928,0.0126392655,170.58441,5.8237514,0.0814323018022078,0.015743751,5.823182282231915,0.016513184,-0.045285724,-0.019287067,-0.11714569,0.024567105,0.12352968,0.020784736,-0.24168336,-0.039411124,-0.018998258,-0.056151092,402,8,398,4,1.7658123,447.04474,0.052726753,1.6314484,31,False,1.5007943,,,,,,,,46,29,0.023339204,49,19,0,0.014420201,131.09981,0,0,1.0627754,,,,,,,,,False,418,44274.56317605493,9.576548,4623.228,14.071981,47,21224.20049578305,18.38875,1154.1948,14.521463,46,32698.814486354167,25.576439,1278.4741,13.461565,0.0,2.0,0.0,0.0,0.0,1.2179232,1.0598984,0.44948196,0.6104164,,,0,,,,82.90457354976176,11.816292737661373,322.35441530154327,68.07726623145284,2MASS J19481886+4930074,297.0786345425038,49.50206262084278,2.1494,0.001,5.797,-23.8,2000.0,1.6906352355711174e-09,6.086286848056023e-06,-0.0100190000000015,False,False,False,False,-0.026106,2.18216766351928,2.18216766351928,0.013799756009454135,463.8086270537029,0.015129999,0.004539,12.267870000742375,0.024425448199077097
KOI-04302   ,1,1,0,0,0,0,0,0,rj173.1201,4302,    ,6290935,6073.1,60.0, 4.136, 0.100,-0.130, 0.040,  5.5, 1.0,SM+SX,6093.7, 4.136,-0.129,  5.5,6052.5, 4.178,-0.132, 7.0,   0.2,True ,True ,1,cks-k04302_rj173.1201.fits     ,0,fits,Simbad,293.68127,41.611969,6290935,6093.7,-0.129,2MASS J19344350+4136431,13.591,12.588,0.022,12.365,0.022,12.336,0.023,1636042515805110273,Gaia EDR3 2077605049794388736,2077605049794388736,461363967,2016.0,293.68121266743736,0.009455554,41.6119616060338,0.012033694,1.0322117375100268,0.011821002,87.32016,6.184927,-2.777321642651136,0.013188622,-5.5262831078098245,0.015223434,-0.13666193,-0.010363939,-0.12943837,0.14405376,0.11898128,0.12452635,-0.24969114,-0.12684122,-0.10837213,-0.009903941,368,0,365,3,-0.2132859,355.70905,0.0,0.0,31,False,1.5772797,,,,,,,,42,26,0.021448493,45,20,0,0.012015822,179.71552,0,0,0.9911385,0.15232202,0.20014727,0.13844173,0.09240394,-113.54129,68.20977,19.709908,-34.80934,False,379,71764.67127983509,14.123279,5081.3037,13.54759,42,40073.54821560197,23.533884,1702.8021,13.831398,42,45402.31868543418,16.125404,2815.5771,13.105201,0.0,0.0,0.0,0.0,0.0,1.1910577,0.72619724,0.28380775,0.4423895,,,0,,,,74.66412437802983,10.246173071030585,309.5187253557886,61.84113061731264,2MASS J19344350+4136431,293.6812295329267,41.61198641203917,0.9932,-2.837,-5.581,-1.8,2000.0,1.731520429493469e-09,6.233473546176489e-06,-0.0434099999999997,False,False,False,False,-0.027392,1.059603737510027,1.059603737510027,0.01370132477348806,968.7934787607335,0.009078,0.0027234,12.326922000259161,0.023160675885325225
KOI-00440   ,2,1,1,1,0,0,0,0,rj157.695 , 440,    ,2438264,5078.4,60.0, 4.540, 0.100, 0.169, 0.040,  2.6, 1.0,SM+SX,5074.5, 4.540, 0.177,  2.6,5082.4, 4.529, 0.160, 4.6, -25.6,True ,True ,1,cks-k00440_rj157.695.fits      ,3,fits,Simbad,290.29651,37.749489,2438264,5074.5, 0.177,2MASS J19211116+3744581,14.172,12.735,0.022,12.255,0.017,12.155,0.023,1636042515805110273,Gaia EDR3 2051105410816218368,2051105410816218368,490558877,2016.0,290.29641883337683,0.010467534,37.74942490611196,0.013218841,2.259948909319768,0.0134309735,168.26398,21.538975,-14.79671995580022,0.013349584,-15.651980418569073,0.015561627,0.022164565,0.032163206,-0.077830225,-0.044607423,0.09326143,-0.0629729,-0.33426487,-0.17931934,-0.08812458,0.04568974,406,0,404,2,-0.6548757,383.61282,0.0,0.0,31,False,1.4862688,,,,,,,,48,28,0.02227253,53,24,0,0.029956684,2.3423345,0,0,0.9760786,0.1718017,0.17500912,0.09986546,0.10652322,-103.668106,86.59482,-10.151506,-29.852362,False,408,41428.49043082469,6.5646443,6310.8506,14.144119,50,19149.664855122595,20.544098,932.1249,14.63314,48,31531.190078545675,18.215523,1731.0066,13.501044,0.0,0.0,0.0,1.0,0.0,1.2233334,1.1320953,0.48902035,0.643075,,,0,,,,69.96482544955677,10.840343412226211,302.12049209184767,58.94619700373725,2MASS J19211116+3744581,290.2965021905825,37.74949474475861,2.2261,-14.83,-15.714,-25.7,2000.0,1.7525691508233934e-09,6.309248942964217e-06,-0.0278810000000007,False,False,False,False,-0.028492,2.288440909319768,2.288440909319768,0.014597933237464186,442.4878792065235,0.009078,0.0027234,12.14592200025916,0.023160675885325225
KOI-04312   ,1,1,0,0,0,0,0,0,rj179.886 ,4312,    ,10722485,5658.9,60.0, 4.112, 0.100,-0.221, 0.040,  1.2, 1.0,SM+SX,5705.2, 4.112,-0.189,  1.2,5612.7, 4.202,-0.254, 4.4, -19.6,True ,True ,1,cks-k04312_rj179.886.fits      ,0,fits,Simbad,288.2327,48.002178,10722485,5705.2,-0.189,2MASS J19125585+4800078,13.858,12.766,0.027,12.456,0.031,12.383,0.029,1636042515805110273,Gaia EDR3 2130980910480096384,2130980910480096384,1424757420,2016.0,288.2327239614585,0.011301717,48.00219716020092,0.01130832,1.073645540059366,0.012242471,87.69843,4.7443237,3.608351532100138,0.015796797,3.080325539470048,0.015740627,-0.13651656,-0.026206747,0.069959074,-0.15516365,0.12577264,-0.17148414,-0.013104575,-0.060074493,-0.23805626,-0.19769463,345,6,345,0,0.12674713,345.15073,0.0,0.0,31,False,1.5547013,,,,,,,,40,26,0.02398105,44,16,0,0.025044344,26.433012,0,0,1.0038826,,,,,,,,,False,374,56411.36680962085,9.628404,5858.8496,13.80895,38,30192.374357551427,28.054625,1076.1996,14.138799,37,37396.133439458885,31.396143,1191.106,13.315828,0.0,1.0,0.0,1.0,0.0,1.1981363,0.8229704,0.3298483,0.4931221,,,0,,,,78.93825131319794,16.445889742813165,306.0653238182932,69.16948418511151,2MASS J19125585+4800078,288.2327000559708,48.00218350933695,1.0534,3.599,3.071,-22.2,2000.0,2.003050714263991e-09,7.210982571350367e-06,-0.0490500000000011,False,False,False,False,-0.02555,1.099195540059366,1.099195540059366,0.013687202311036227,931.4060951109675,0.015129999,0.004539,12.367870000742375,0.029353066615360628
KOI-01970   ,2,0,1,1,0,0,0,0,rj206.167 ,1970,    ,9650808,5458.7,60.0, 4.412, 0.100, 0.084, 0.040,  0.3, 1.0,SM   ,5458.7, 4.412, 0.084,  0.3,      ,      ,      ,    , -35.3,True ,True ,2,cks-k01970_rj206.167.fits      ,3,fits,Simbad,292.49963,46.324409,9650808,5458.7, 0.084,2MASS J19295991+4619278,15.378,14.082,0.025,13.709,0.031,13.66,0.054,1636042515805110273,Gaia EDR3 2128263364414395136,2128263364414395136,1292436339,2016.0,292.4996093560152,0.018819062,46.32433858798427,0.020484295,0.980157139089863,0.021086143,46.48347,14.797308,-3.486434856591945,0.024351435,-14.38071924384304,0.024753498,0.005859406,-0.021613147,-0.17671517,-0.11257578,0.07037781,-0.13396508,-0.21193299,-0.09227082,-0.17886394,0.03781272,361,0,358,3,0.642412,385.29852,0.03262165,0.22047722,31,False,1.5205661,,,,,,,,41,29,0.03552947,45,20,0,0.011736431,123.3675,0,0,1.0233229,0.18093994,0.086879574,0.031811874,0.07569482,-92.067055,75.31465,15.632593,2.1318846,False,369,14431.527448678908,3.90878,3692.0796,15.289086,41,7257.034245881608,13.476328,538.5024,15.686645,40,10200.074131081075,14.09511,723.66046,14.726387,0.0,0.0,0.0,1.0,0.0,1.2096508,0.96025753,0.3975582,0.5626993,,,0,,,,78.5809234693938,13.11309928866844,311.59859077303594,66.54376142938166,2MASS J19295991+4619278,292.49963204963376,46.32440274999112,0.9689,-3.526,-14.436,-37.5,2000.0,2.0367941855485997e-09,7.332459067974959e-06,-0.0889140000000008,False,False,False,False,-0.025182,1.005339139089863,1.005339139089863,0.022293667363817923,1020.2445711190375,0.024208,0.0072624004,13.635792000070214,0.05448616760203262
KOI-00523   ,2,0,1,1,0,0,0,0,rj190.799 , 523,    ,8806123,5732.5,60.0, 4.106, 0.100,-0.106, 0.040,  1.7, 1.0,SM   ,5732.5, 4.106,-0.106,  1.7,      ,      ,      ,    ,-115.0,True ,True ,2,cks-k00523_rj190.799.fits      ,3,fits,Simbad,286.04712,45.053211,8806123,5732.5,-0.106,2MASS J19041131+4503115,15.0,13.858,0.025,13.57,0.033,13.421,0.04,1636042515805110273,Gaia EDR3 2106339927188171776,2106339927188171776,1252440754,2016.0,286.0471450066325,0.01604377,45.05320362424464,0.016184665,0.6723491049055201,0.017318463,38.822678,4.212469,4.0949512190697,0.022389073,-0.9880634924320144,0.021414872,-0.07829804,-0.17146142,-0.0634751,0.07224678,0.030825397,0.06395368,-0.23699099,-0.028381685,-0.12951685,-0.13765123,384,0,382,2,-1.04366,361.75787,0.0,0.0,31,False,1.5505309,,,,,,,,44,27,0.032610722,48,18,0,0.010466602,6.3155346,0,0,0.96136117,0.107764944,0.0796332,0.05612787,0.11457352,-91.1287,44.933712,6.7771454,-44.121513,False,396,20086.998142761764,5.2610354,3818.0693,14.930079,45,10689.842443992236,14.038141,761.4856,15.266114,43,13450.713251390032,12.82111,1049.1068,14.426032,0.0,1.0,0.0,0.0,0.0,1.2018001,0.84008217,0.33603477,0.5040474,,,0,,,,75.49688257496862,16.724308577785933,299.7721632541099,66.84140861409533,2MASS J19041131+4503115,286.0471195205984,45.05320825319389,0.6678,4.051,-1.042,0.0,2000.0,2.170673916310966e-09,7.814426098719478e-06,-0.0699210000000007,False,False,False,False,-0.025013,0.6973621049055201,0.6973621049055201,0.01840710923428079,1487.322572014909,0.015129999,0.004539,13.405870000742375,0.04025670776064281
KOI-00508   ,2,0,1,1,0,0,0,0,rj189.2512, 508,    ,6266741,5573.3,60.0, 4.287, 0.100, 0.385, 0.040,  1.8, 1.0,SM   ,5573.3, 4.287, 0.385,  1.8,      ,      ,      ,    , -39.0,True ,True ,2,cks-k00508_rj189.2512.fits     ,3,fits,Simbad,284.52118,41.629601,6266741,5573.3, 0.385,2MASS J18580508+4137465,14.387,13.143,0.021,12.773,0.025,12.677,0.024,1636042515805110273,Gaia EDR3 2104098950692667264,2104098950692667264,1693381209,2016.0,284.5211979192233,0.012359559,41.62965784747268,0.01454859,1.3412753490529703,0.014640858,91.6118,12.410132,2.4569365426776995,0.015074875,12.164491252394898,0.017893268,-0.06663367,0.076897584,0.0039765285,0.09132177,0.055580817,0.062331192,-0.24117023,-0.044203904,0.08849095,0.0034774833,334,0,334,0,0.71368355,352.1672,0.0,0.0,31,False,1.5175275,,,,,,,,39,27,0.025142904,42,16,0,0.0062682037,153.51599,0,0,1.0269285,0.19644113,0.13744563,0.10773027,0.13836657,-100.978065,76.09771,-25.6758,39.00254,False,344,34758.73639500558,6.3518486,5472.2236,14.334707,37,17306.39382293046,16.936123,1021.8628,14.743026,33,24664.2036769086,24.736685,997.0699,13.767728,0.0,0.0,0.0,0.0,0.0,1.2074834,0.9752979,0.40831852,0.5669794,,,0,,,,71.75046671766674,16.476710462251482,295.1258271993397,63.807700385442224,2MASS J18580508+4137465,284.52118350877083,41.62960417621889,1.3251,2.423,12.076,0.0,2000.0,2.2707188132018003e-09,8.17458772752648e-06,-0.0522930000000005,False,False,False,False,-0.026713,1.3679883490529703,1.3679883490529703,0.015771937633287377,745.5590686178394,0.026929228,0.008078769,12.650070772364735,0.0253232403920281
